,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rush_discrepancy,rush_discrepancy_abs,rushing_value
4951,2021,13,PIT,BAL,20,19,24,86.0,-2.8411117,0.0,-0.33962918761233113,-0.11837965416666667,-0.28732649210186917,-0.05230269551046196,0.05230269551046196,-0.33962918761233113
4952,2021,13,SEA,SF,30,23,26,147.0,2.4119525,2.0,0.6545878810077951,0.09276740384615384,0.7021654095268596,-0.047577528519064494,0.047577528519064494,0.6545878810077951
4953,2021,13,SF,SEA,23,30,24,72.0,-1.7007166,1.0,-0.12379320498894046,-0.07086319166666667,-0.06465156932392373,-0.059141635665016734,0.059141635665016734,-0.12379320498894046
4954,2021,13,TB,ATL,30,17,16,58.0,-1.801703,0.0,-0.14290631664261103,-0.1126064375,-0.2602716461012784,0.11736532945866737,0.11736532945866737,-0.14290631664261103
4955,2021,13,WAS,LV,17,15,29,113.0,-4.278712,0.0,-0.6117154789074982,-0.14754179310344825,-0.4239881182864269,-0.18772736062107132,0.18772736062107132,-0.6117154789074982
4956,2021,14,ARI,LA,23,30,22,103.0,-3.2262666,2.0,-0.4125252271548667,-0.14664848181818183,-0.41980182134853156,0.0072765941936648315,0.0072765941936648315,-0.4125252271548667
4957,2021,14,ATL,CAR,29,21,34,130.0,-2.8878627,1.0,-0.3484774788963134,-0.08493713823529411,-0.13060586811773747,-0.21787161077857595,0.21787161077857595,-0.3484774788963134
4958,2021,14,BAL,CLE,22,24,23,118.0,-1.3417499,1.0,-0.055853654544032454,-0.05833695217391304,-0.005950242141855704,-0.04990341240217675,0.04990341240217675,-0.055853654544032454
4960,2021,14,BUF,TB,27,33,19,173.0,9.147938,1.0,1.9294688843805836,0.48147042105263155,2.5237322894267855,-0.5942634050462019,0.5942634050462019,1.9294688843805836
4961,2021,14,CAR,ATL,21,29,26,91.0,-6.3267183,2.0,-0.9993297822129006,-0.2433353192307692,-0.8729023452878223,-0.1264274369250783,0.1264274369250783,-0.9993297822129006
