,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
1169,2015,16,KC,CLE,17,13,-1.5928607,-0.3341222127382768,-0.3341222127382768
1170,2015,16,LA,SEA,23,17,-2.6144416,-0.5484114288631774,-0.5484114288631774
1171,2015,16,LAC,LV,20,23,-8.172944,-1.7143759864663766,-1.7143759864663766
1172,2015,16,LV,LAC,23,20,8.172944,1.7143759864663766,1.7143759864663766
1173,2015,16,MIA,IND,12,18,0.06496453,0.013627112849919755,0.013627112849919755
1174,2015,16,MIN,NYG,49,17,6.812603,1.4290276537473887,1.4290276537473887
1175,2015,16,NE,NYJ,20,26,-0.74538755,-0.15635424839947584,-0.15635424839947584
1176,2015,16,NO,JAX,38,27,-6.6680183,-1.398699226476818,-1.398699226476818
1177,2015,16,NYG,MIN,17,49,-6.812603,-1.4290276537473887,-1.4290276537473887
1179,2015,16,NYJ,NE,26,20,0.74538755,0.15635424839947584,0.15635424839947584
1180,2015,16,PHI,WAS,24,38,2.350765,0.49310200410349464,0.49310200410349464
1181,2015,16,PIT,BAL,17,20,-2.0932627,-0.4390877150566272,-0.4390877150566272
1182,2015,16,SEA,LA,17,23,2.6144416,0.5484114288631774,0.5484114288631774
1183,2015,16,SF,DET,17,32,-5.176543,-1.0858438540764033,-1.0858438540764033
1184,2015,16,TB,CHI,21,26,-2.8758962,-0.6032547616684887,-0.6032547616684887
1185,2015,16,TEN,HOU,6,34,-3.384279,-0.7098943353952312,-0.7098943353952312
1186,2015,16,WAS,PHI,38,24,-2.350765,-0.49310200410349464,-0.49310200410349464
1187,2015,17,ARI,SEA,6,36,-11.703079,-2.4548654200149835,-2.4548654200149835
1189,2015,17,ATL,NO,17,20,-3.9730241,-0.8333908944796622,-0.8333908944796622
1190,2015,17,BAL,CIN,16,24,2.5354834,0.5318489708291312,0.5318489708291312
1191,2015,17,BUF,NYJ,22,17,5.715892,1.1989789708623075,1.1989789708623075
1192,2015,17,CAR,TB,38,10,10.098671,2.1183210184267,2.1183210184267
1193,2015,17,CHI,DET,20,24,4.4684653,0.9373158077038426,0.9373158077038426
1194,2015,17,CIN,BAL,24,16,-2.5354834,-0.5318489708291312,-0.5318489708291312
1195,2015,17,CLE,PIT,12,28,1.1530783,0.24187242051768282,0.24187242051768282
1196,2015,17,DAL,WAS,23,34,-2.0800662,-0.4363195861295963,-0.4363195861295963
1197,2015,17,DEN,LAC,27,20,-0.015819788,-0.003318395997597551,-0.003318395997597551
1199,2015,17,DET,CHI,24,20,-4.4684653,-0.9373158077038426,-0.9373158077038426
1200,2015,17,GB,MIN,13,20,3.3343446,0.6994199780206296,0.6994199780206296
1201,2015,17,HOU,JAX,30,6,-7.9146414,-1.6601938246062402,-1.6601938246062402
1203,2015,17,IND,TEN,30,24,0.2288208,0.047997990041779987,0.047997990041779987
1205,2015,17,JAX,HOU,6,30,7.9146414,1.6601938246062402,1.6601938246062402
1206,2015,17,KC,LV,23,17,-0.90527725,-0.18989308852407635,-0.18989308852407635
1208,2015,17,LA,SF,16,19,-5.763088,-1.2088789150020527,-1.2088789150020527
1210,2015,17,LAC,DEN,20,27,0.015819788,0.0033183959975975584,0.0033183959975975584
1211,2015,17,LV,KC,17,23,0.90527725,0.18989308852407635,0.18989308852407635
1212,2015,17,MIA,NE,20,10,0.78026366,0.1636699433908229,0.1636699433908229
1213,2015,17,MIN,GB,20,13,-3.3343446,-0.6994199780206296,-0.6994199780206296
1214,2015,17,NE,MIA,10,20,-0.78026366,-0.1636699433908229,-0.1636699433908229
1216,2015,17,NO,ATL,20,17,3.9730241,0.8333908944796622,0.8333908944796622
1218,2015,17,NYG,PHI,30,35,3.4121954,0.7157501452219704,0.7157501452219704
1219,2015,17,NYJ,BUF,17,22,-5.715892,-1.1989789708623075,-1.1989789708623075
1220,2015,17,PHI,NYG,35,30,-3.4121954,-0.7157501452219704,-0.7157501452219704
1221,2015,17,PIT,CLE,28,12,-1.1530783,-0.24187242051768282,-0.24187242051768282
1222,2015,17,SEA,ARI,36,6,11.703079,2.4548654200149835,2.4548654200149835
1224,2015,17,SF,LA,19,16,5.763088,1.2088789150020527,1.2088789150020527
1225,2015,17,TB,CAR,10,38,-10.098671,-2.1183210184267,-2.1183210184267
1226,2015,17,TEN,IND,24,30,-0.2288208,-0.04799799004177998,-0.04799799004177998
1228,2015,17,WAS,DAL,34,23,2.0800662,0.4363195861295963,0.4363195861295963
1230,2015,18,CIN,PIT,16,18,0.731825,0.15350933596213995,0.15350933596213995
1231,2015,18,GB,WAS,35,18,-2.154498,-0.4519325758367897,-0.4519325758367897
1232,2015,18,HOU,KC,0,30,-9.203099,-1.9304637260053077,-1.9304637260053077
1233,2015,18,KC,HOU,30,0,9.203099,1.9304637260053077,1.9304637260053077
1234,2015,18,MIN,SEA,9,10,-0.31700563,-0.0664958477198235,-0.0664958477198235
1235,2015,18,PIT,CIN,18,16,-0.731825,-0.15350933596213995,-0.15350933596213995
