,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
2427,2017,16,LA,TEN,27,23,25,117.0,-6.48948,0.0,-1.0301347484097778,-0.2595792,-0.9490255402250606,-0.9490255402250606
2429,2017,16,LAC,NYJ,14,7,30,89.0,-4.6892676,1.0,-0.6894189628551386,-0.15630892,-0.46507323368747583,-0.46507323368747583
2430,2017,16,LV,PHI,10,19,32,138.0,-10.955048,0.0,-1.8753069675699494,-0.34234525,-1.336889510386709,-1.336889510386709
2431,2017,16,MIA,KC,13,29,15,60.0,-1.7501798,0.0,-0.13315481947347096,-0.11667865333333333,-0.279355145559576,-0.279355145559576
2432,2017,16,MIN,GB,16,0,30,116.0,-3.3847451,0.0,-0.4425195367867471,-0.11282483666666666,-0.2612951241787265,-0.2612951241787265
2433,2017,16,NE,BUF,37,16,36,194.0,9.003126,2.0,1.9020611544617474,0.2500868333333333,1.43940656623895,1.43940656623895
2434,2017,16,NO,ATL,23,13,28,90.0,-4.1447053,1.0,-0.5863528069793426,-0.1480251892857143,-0.4262534436577131,-0.4262534436577131
2435,2017,16,NYG,ARI,0,23,20,43.0,-13.213068,0.0,-2.302669348863449,-0.6606534,-2.828567110004057,-2.828567110004057
2436,2017,16,NYJ,LAC,7,14,30,197.0,-1.9884026,1.0,-0.17824187055645743,-0.06628008666666667,-0.04317390750617324,-0.04317390750617324
2437,2017,16,PHI,LV,19,10,22,78.0,-7.2645564,0.0,-1.176828974319377,-0.3302071090909091,-1.2800069175436108,-1.2800069175436108
2438,2017,16,PIT,HOU,34,6,25,106.0,-0.4513374,2.0,0.11266956693097376,-0.018053496,0.18282886686005576,0.18282886686005576
2440,2017,16,SEA,DAL,21,12,27,80.0,-4.5383525,0.0,-0.660856135019625,-0.16808712962962963,-0.5202690917517946,-0.5202690917517946
2441,2017,16,SF,JAX,44,33,34,132.0,4.9712877,3.0,1.1389784462136647,0.14621434411764708,0.9526321453529822,0.9526321453529822
2442,2017,16,TB,CAR,19,22,24,66.0,-11.156899,0.0,-1.9135101385013291,-0.4648707916666666,-1.9110771517812153,-1.9110771517812153
2443,2017,16,TEN,LA,23,27,26,97.0,-2.098391,1.0,-0.1990587386704077,-0.08070734615384614,-0.11078392566276929,-0.11078392566276929
2444,2017,16,WAS,DEN,27,11,27,89.0,-10.430515,0.0,-1.776031641422695,-0.38631537037037034,-1.5429453201702785,-1.5429453201702785
2445,2017,17,ARI,SEA,26,24,32,117.0,-1.182416,1.0,-0.025697449928362263,-0.0369505,0.09427242378224127,0.09427242378224127
2446,2017,17,ATL,CAR,22,10,25,61.0,-7.8011994,0.0,-1.2783962901024468,-0.312047976,-1.1949083359955754,-1.1949083359955754
2447,2017,17,BAL,CIN,27,31,26,118.0,1.3460921,1.0,0.45285864910348966,0.05177277307692307,0.5100535434726392,0.5100535434726392
2448,2017,17,BUF,MIA,22,16,31,127.0,-2.0775533,1.0,-0.1951149077509829,-0.06701784838709678,-0.046631257348521755,-0.046631257348521755
2449,2017,17,CAR,ATL,10,22,24,87.0,-3.1255872,0.0,-0.39347022044985785,-0.1302328,-0.3428735222162681,-0.3428735222162681
2450,2017,17,CHI,MIN,10,23,15,30.0,-5.61995,0.0,-0.8655638361033603,-0.37466333333333335,-1.4883407408088647,-1.4883407408088647
2452,2017,17,CIN,BAL,31,27,28,148.0,-3.1328826,0.0,-0.39485097859924906,-0.11188866428571428,-0.2569079686187853,-0.2569079686187853
