,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
2681,2018,5,NE,IND,38,24,68.0,1654.0,0.676923076923077,0.3230769230769231,0.23491199503409524,-0.6174226114544774,0.8263119300193132
2682,2018,5,NO,WAS,43,19,64.0,1997.0,0.5166666666666667,0.4833333333333333,-0.21376117927451868,0.6600522570601761,-0.6879833593917816
2683,2018,5,NYG,CAR,31,33,57.0,1473.0,0.7090909090909091,0.2909090909090909,-0.9989392343145931,-1.291542002711481,1.1302722935665581
2685,2018,5,NYJ,DEN,34,16,64.0,1734.0,0.3833333333333333,0.6166666666666667,-0.21376117927451868,-0.3194692893519343,-1.9478770401818133
2686,2018,5,PHI,MIN,21,23,57.0,1633.0,0.6727272727272727,0.3272727272727272,-0.9989392343145931,-0.6956353585063949,0.7866649260783678
2687,2018,5,PIT,ATL,41,17,58.0,1748.0,0.5087719298245614,0.4912280701754385,-0.8867709407374396,-0.26732745798398927,-0.7625823273332968
2688,2018,5,SEA,LA,31,33,56.0,1830.0,0.4181818181818181,0.5818181818181818,-1.1111075278917466,0.03807469717111739,-1.6185866463389647
2689,2018,5,SF,ARI,18,28,93.0,2412.0,0.631578947368421,0.3684210526315789,3.0391193344629324,2.2056851154671184,0.39784606286804697
2690,2018,5,TEN,BUF,12,13,57.0,1571.0,0.5283018867924528,0.4716981132075472,-0.9989392343145931,-0.9265491831358659,-0.5780398070586897
2691,2018,5,WAS,NO,19,43,62.0,1603.0,0.7049180327868853,0.2950819672131147,-0.43809776642882564,-0.8073678542948486,1.0908419399203724
2692,2018,6,ARI,MIN,17,27,56.0,1538.0,0.6363636363636364,0.3636363636363636,-1.1111075278917466,-1.049454928503165,0.4430575585901775
2693,2018,6,ATL,TB,34,29,66.0,1899.0,0.65625,0.34375,0.010575407879788277,0.2950594374845608,0.6309678376852816
2694,2018,6,BAL,TEN,21,0,72.0,2254.0,0.5211267605633803,0.4788732394366197,0.6835851693427092,1.6172273043145957,-0.6458390285202847
2695,2018,6,BUF,HOU,13,20,60.0,1980.0,0.5344827586206896,0.4655172413793103,-0.6624343535831326,0.5967371761133856,-0.5196354968724248
2697,2018,6,CAR,WAS,17,23,60.0,1476.0,0.711864406779661,0.288135593220339,-0.6624343535831326,-1.2803687531326358,1.1564796351546403
2698,2018,6,CHI,MIA,28,31,65.0,2005.0,0.5238095238095238,0.4761904761904761,-0.1015928856973652,0.6898475892704303,-0.6204890550637444
