,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win,rush_def_win_pred,rush_def_value
99,2014,4,CAR,BAL,10,38,30,127.0,-2.1508691,2.0,4.233333333333333,-0.0716956366666666,0.0666666666666666,0,1,0.508879593254055
100,2014,4,CHI,GB,17,38,18,56.0,1.7229321,1.0,3.111111111111111,0.09571845,0.0555555555555555,1,0,0.2780520272257843
101,2014,4,DAL,NO,38,17,13,104.0,2.8869352,0.0,8.0,0.2220719384615384,0.0,1,0,0.15432395068303395
102,2014,4,DET,NYJ,24,17,27,132.0,-1.1796992,1.0,4.888888888888889,-0.0436925629629629,0.037037037037037,0,0,0.46754125672616825
103,2014,4,GB,CHI,38,17,41,235.0,6.352316,0.0,5.7317073170731705,0.1549345365853658,0.0,0,0,0.21345897537959763
104,2014,4,HOU,BUF,23,17,23,96.0,-1.8169904,0.0,4.173913043478261,-0.0789995826086956,0.0,1,1,0.5196646818883092
105,2014,4,IND,TEN,41,17,16,85.0,2.5856962,1.0,5.3125,0.1616060125,0.0625,1,0,0.20691232999067716
106,2014,4,JAX,LAC,14,33,20,42.0,-6.621519,0.0,2.1,-0.33107595,0.0,1,1,0.8276191210723476
107,2014,4,KC,NE,41,14,16,75.0,-2.1308522,0.0,4.6875,-0.1331782625,0.0,1,1,0.5984416380326897
108,2014,4,LAC,JAX,33,14,25,85.0,-8.540484,1.0,3.4,-0.34161936,0.04,1,1,0.8363303860441718
109,2014,4,LV,MIA,14,38,35,157.0,-8.065669,2.0,4.485714285714286,-0.2304476857142857,0.0571428571428571,0,1,0.7259127786644364
110,2014,4,MIA,LV,38,14,18,53.0,-13.40277,0.0,2.9444444444444446,-0.7445983333333334,0.0,1,1,0.9822486102824715
111,2014,4,MIN,ATL,41,28,22,123.0,4.5525775,1.0,5.590909090909091,0.2069353409090909,0.0454545454545454,0,0,0.1663662421993626
112,2014,4,NE,KC,14,41,36,209.0,-0.297066,1.0,5.805555555555555,-0.0082518333333333,0.0277777777777777,0,0,0.4159247695393267
113,2014,4,NO,DAL,17,38,32,193.0,5.679905,2.0,6.03125,0.17749703125,0.0625,0,0,0.19192065606042072
114,2014,4,NYG,WAS,45,14,17,86.0,0.09499589,1.0,5.0588235294117645,0.0055879935294117,0.0588235294117647,1,0,0.39619628547042096
115,2014,4,NYJ,DET,17,24,24,91.0,-1.8682306,1.0,3.7916666666666665,-0.0778429416666666,0.0416666666666666,1,1,0.517957734820746
116,2014,4,PHI,SF,21,26,40,220.0,3.6431165,0.0,5.5,0.0910779125,0.0,0,0,0.28359218636470046
117,2014,4,PIT,TB,24,27,19,63.0,1.7649052,1.0,3.3157894736842106,0.092889747368421,0.0526315789473684,1,0,0.28142118229053725
118,2014,4,SF,PHI,26,21,12,22.0,-3.4959946,0.0,1.8333333333333333,-0.2913328833333333,0.0,1,1,0.7914859677574552
119,2014,4,TB,PIT,27,24,27,85.0,-3.6494663,0.0,3.1481481481481484,-0.1351654185185185,0.0,1,1,0.6012612710807395
120,2014,4,TEN,IND,17,41,37,108.0,-6.1816354,1.0,2.918918918918919,-0.167071227027027,0.027027027027027,0,1,0.6455039425256587
121,2014,4,WAS,NYG,14,45,38,154.0,1.455212,2.0,4.052631578947368,0.0382950526315789,0.0526315789473684,0,0,0.3509907931245577
122,2014,5,ARI,DEN,20,41,26,94.0,-1.2680042,1.0,3.615384615384616,-0.0487693923076923,0.0384615384615384,1,0,0.47501926902110325
123,2014,5,ATL,NYG,20,30,32,127.0,0.68614,1.0,3.96875,0.021441875,0.03125,0,0,0.374008212823027
124,2014,5,BAL,IND,13,20,29,128.0,-9.580059,1.0,4.413793103448276,-0.3303468620689655,0.0344827586206896,0,1,0.8270033637558658
125,2014,5,BUF,DET,17,14,19,70.0,-1.8757483,0.0,3.684210526315789,-0.0987235947368421,0.0,1,1,0.5486698171996935
126,2014,5,CAR,CHI,31,24,21,86.0,-6.499354,1.0,4.095238095238095,-0.3094930476190476,0.0476190476190476,1,1,0.8086496112376462
127,2014,5,CHI,CAR,24,31,24,93.0,-0.54283535,1.0,3.875,-0.0226181395833333,0.0416666666666666,1,0,0.43669183044393384
128,2014,5,CIN,NE,17,43,43,224.0,4.9884706,1.0,5.209302325581396,0.1160109441860465,0.0232558139534883,0,0,0.2546234504222557
129,2014,5,CLE,TEN,29,28,29,150.0,-0.505542,1.0,5.172413793103448,-0.0174324827586206,0.0344827586206896,0,0,0.4291661462499045
130,2014,5,DAL,HOU,20,17,30,177.0,5.5933228,2.0,5.9,0.1864440933333333,0.0666666666666666,0,0,0.18385138919688512
131,2014,5,DEN,ARI,41,20,19,37.0,-7.2153125,1.0,1.947368421052632,-0.3797532894736842,0.0526315789473684,1,1,0.8649004248557236
132,2014,5,DET,BUF,14,17,23,51.0,-9.611584,0.0,2.217391304347826,-0.4178949565217391,0.0,1,1,0.8891488574932324
133,2014,5,GB,MIN,42,10,25,111.0,-1.3242906,1.0,4.44,-0.052971624,0.04,0,0,0.48121765891196433
134,2014,5,HOU,DAL,17,20,33,140.0,-4.2913013,0.0,4.242424242424242,-0.1300394333333333,0.0,0,1,0.5939746298680413
135,2014,5,IND,BAL,20,13,15,90.0,0.5681601,1.0,6.0,0.0378773399999999,0.0666666666666666,1,0,0.35155349823910315
136,2014,5,JAX,PIT,9,17,25,113.0,-0.7065279,0.0,4.52,-0.028261116,0.0,0,0,0.4449143364689326
137,2014,5,KC,SF,17,22,37,174.0,1.5860767,0.0,4.702702702702703,0.0428669378378378,0.0,0,0,0.3448592872519827
138,2014,5,LA,PHI,28,34,32,146.0,-6.7247624,0.0,4.5625,-0.210148825,0.0,0,1,0.7014028258066037
139,2014,5,LAC,NYJ,31,0,21,91.0,-5.7056723,0.0,4.333333333333333,-0.2716986809523809,0.0,1,1,0.7716829227606246
140,2014,5,MIN,GB,10,42,27,157.0,2.0808043,2.0,5.814814814814815,0.0770668259259259,0.074074074074074,0,0,0.3007169969051963
141,2014,5,NE,CIN,43,17,18,79.0,-2.3088884,0.0,4.388888888888889,-0.1282715777777777,0.0,1,1,0.5914518016416713
142,2014,5,NO,TB,37,31,21,66.0,-5.1573787,1.0,3.142857142857143,-0.2455894619047618,0.0476190476190476,1,1,0.743357680469687
143,2014,5,NYG,ATL,30,20,21,90.0,-2.9716089,1.0,4.285714285714286,-0.1415051857142857,0.0476190476190476,1,1,0.6102113394705301
144,2014,5,NYJ,LAC,0,31,40,162.0,-3.5542426,1.0,4.05,-0.088856065,0.025,0,1,0.5341880286696996
145,2014,5,PHI,LA,34,28,23,125.0,-3.0246968,1.0,5.434782608695652,-0.1315085565217391,0.0434782608695652,0,1,0.5960673893385047
146,2014,5,PIT,JAX,17,9,15,56.0,0.01456967,0.0,3.733333333333333,0.0009713113333333,0.0,1,0,0.4027432241961514
147,2014,5,SEA,WAS,27,17,17,32.0,-8.866489,0.0,1.8823529411764703,-0.5215581764705882,0.0,1,1,0.9367238866754048
148,2014,5,SF,KC,22,17,20,107.0,3.0536633,1.0,5.35,0.152683165,0.05,0,0,0.21570199455511002
149,2014,5,TB,NO,31,37,28,141.0,3.899983,2.0,5.035714285714286,0.1392851071428571,0.0714285714285714,0,0,0.22940238204642568
150,2014,5,TEN,CLE,28,29,36,176.0,5.834746,0.0,4.888888888888889,0.1620762777777777,0.0,0,0,0.20645650979822863
151,2014,5,WAS,SEA,17,27,36,225.0,10.996659,1.0,6.25,0.30546275,0.0277777777777777,0,0,0.10028639391984852
152,2014,6,ARI,WAS,30,20,17,72.0,-2.4305835,0.0,4.235294117647059,-0.1429755,0.0,1,1,0.612276710877994
153,2014,6,ATL,CHI,13,27,26,106.0,-0.03170573,2.0,4.076923076923077,-0.0012194511538461,0.0769230769230769,0,0,0.405862278725335
154,2014,6,BAL,TB,48,17,18,87.0,1.1153613,0.0,4.833333333333333,0.0619645166666666,0.0,1,0,0.3198179089238257
155,2014,6,BUF,NE,22,37,25,52.0,-6.748587,0.0,2.08,-0.26994348,0.0,1,1,0.7698496661098843
156,2014,6,CHI,ATL,27,13,12,43.0,-1.6151328,0.0,3.583333333333333,-0.1345944,0.0,1,1,0.6004517149434598
157,2014,6,CLE,PIT,31,10,32,138.0,-2.4442768,0.0,4.3125,-0.07638365,0.0,0,1,0.5158035488234157
158,2014,6,DAL,SEA,30,23,18,80.0,-0.27215207,1.0,4.444444444444445,-0.0151195594444444,0.0555555555555555,1,0,0.4258198352042355
159,2014,6,DEN,NYJ,31,17,15,31.0,-4.927824,0.0,2.066666666666667,-0.3285216,0.0,1,1,0.8254541973784375
160,2014,6,DET,MIN,17,3,17,70.0,-0.6222663,0.0,4.117647058823529,-0.0366039,0.0,1,0,0.45712495566270744
161,2014,6,GB,MIA,27,24,23,112.0,-4.215233,1.0,4.869565217391305,-0.183271,0.0434782608695652,0,1,0.6671002437316637
162,2014,6,HOU,IND,28,33,33,95.0,-15.203231,1.0,2.878787878787879,-0.4607039696969697,0.0303030303030303,1,1,0.9117459288128681
163,2014,6,IND,HOU,33,28,24,136.0,1.9337804,2.0,5.666666666666667,0.0805741833333333,0.0833333333333333,0,0,0.2963750771922201
164,2014,6,JAX,TEN,14,16,23,71.0,-5.165912,1.0,3.0869565217391304,-0.2246048695652173,0.0434782608695652,1,1,0.7189872794962475
165,2014,6,LA,SF,17,31,30,89.0,-12.510765,0.0,2.966666666666667,-0.4170255,0.0,1,1,0.8886412498592625
166,2014,6,LAC,LV,31,28,20,114.0,2.799939,0.0,5.7,0.13999695,0.0,0,0,0.2286593425548745
167,2014,6,LV,LAC,28,31,30,119.0,2.3286815,1.0,3.966666666666667,0.0776227166666666,0.0333333333333333,0,0,0.300026418890458
168,2014,6,MIA,GB,24,27,33,122.0,-1.5296263,0.0,3.696969696969697,-0.0463523121212121,0.0,0,0,0.4714573803720688
169,2014,6,MIN,DET,3,17,28,100.0,-3.0055845,1.0,3.571428571428572,-0.1073423035714285,0.0357142857142857,1,1,0.5612525633536869
170,2014,6,NE,BUF,37,22,23,68.0,-5.09676,1.0,2.9565217391304346,-0.2215982608695652,0.0434782608695652,1,1,0.7153822955653559
171,2014,6,NYG,PHI,0,27,36,203.0,0.12716879,1.0,5.638888888888889,0.0035324663888888,0.0277777777777777,0,0,0.3991067965025409
172,2014,6,NYJ,DEN,17,31,33,138.0,-1.1209323,0.0,4.181818181818182,-0.0339676454545454,0.0,0,0,0.45326021510507875
173,2014,6,PHI,NYG,27,0,24,86.0,-4.492399,0.0,3.583333333333333,-0.1871832916666666,0.0,1,1,0.6722163368466654
174,2014,6,PIT,CLE,10,31,38,158.0,-5.7514186,3.0,4.157894736842105,-0.1513531210526315,0.0789473684210526,0,1,0.6239660773573613
175,2014,6,SEA,DAL,23,30,35,163.0,-1.9864254,1.0,4.6571428571428575,-0.0567550114285714,0.0285714285714285,0,0,0.48680324804246494
176,2014,6,SF,LA,31,17,23,94.0,-1.499921,1.0,4.086956521739131,-0.0652139565217391,0.0434782608695652,1,0,0.4993014282251151
177,2014,6,TB,BAL,17,48,32,172.0,-2.0008812,1.0,5.375,-0.0625275375,0.03125,0,0,0.4953313776937018
178,2014,6,TEN,JAX,16,14,23,82.0,0.9644637,1.0,3.565217391304348,0.041933204347826,0.0434782608695652,1,0,0.34610743924587867
179,2014,6,WAS,ARI,20,30,23,74.0,-5.796591,0.0,3.217391304347826,-0.2520256956521739,0.0,1,1,0.7505488636230608
180,2014,7,ARI,LV,24,13,18,57.0,-2.8539999,1.0,3.1666666666666665,-0.15855555,0.0555555555555555,1,1,0.6339020998782439
181,2014,7,ATL,BAL,7,29,36,123.0,-5.8103013,1.0,3.4166666666666665,-0.1613972583333333,0.0277777777777777,0,1,0.6377917452294004
182,2014,7,BAL,ATL,29,7,16,68.0,-2.7647705,0.0,4.25,-0.17279815625,0.0,1,1,0.6532121578215588
183,2014,7,BUF,MIN,17,16,29,158.0,-2.7641375,0.0,5.448275862068965,-0.0953150862068965,0.0,0,1,0.5436754749838846
184,2014,7,CAR,GB,17,38,27,125.0,5.3484435,2.0,4.62962962962963,0.1980905,0.074074074074074,0,0,0.17374477126276988
185,2014,7,CHI,MIA,14,27,31,139.0,1.4614842,1.0,4.483870967741935,0.0471446516129032,0.032258064516129,0,0,0.3391686384654838
186,2014,7,CIN,IND,0,27,34,171.0,-5.213401,1.0,5.029411764705882,-0.1533353235294117,0.0294117647058823,0,1,0.6267114273624196
187,2014,7,CLE,JAX,6,24,34,186.0,4.8047113,2.0,5.470588235294118,0.1413150382352941,0.0588235294117647,0,0,0.22728796419516953
188,2014,7,DAL,NYG,31,21,26,104.0,-3.8289354,0.0,4.0,-0.1472667461538461,0.0,1,1,0.6182814162023724
189,2014,7,DEN,SF,42,17,18,62.0,-4.1492844,0.0,3.4444444444444446,-0.2305158,0.0,1,1,0.7259928853921139
190,2014,7,DET,NO,24,23,21,73.0,-6.7857428,0.0,3.4761904761904763,-0.3231306095238095,0.0,1,1,0.8208148292799001
191,2014,7,GB,CAR,38,17,25,108.0,-6.567551,0.0,4.32,-0.2627020399999999,0.0,0,1,0.7621774917198672
