,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
19,2014,1,LV,NYJ,14,19,32,214.0,1.6356307,1.0,6.6875,0.051113459375,0.03125,0
20,2014,1,MIA,NE,33,20,20,89.0,3.5053282,1.0,4.45,0.17526641,0.05,1
21,2014,1,MIN,LA,34,6,21,73.0,-1.5054839,0.0,3.4761904761904763,-0.07168970952380953,0.0,1
22,2014,1,NE,MIA,20,33,36,193.0,3.308691,1.0,5.361111111111111,0.09190808333333333,0.027777777777777776,0
23,2014,1,NO,ATL,34,37,25,123.0,2.5593936,1.0,4.92,0.10237574399999999,0.04,0
24,2014,1,NYG,DET,14,35,27,79.0,-3.1919725,2.0,2.925925925925926,-0.1182212037037037,0.07407407407407407,1
25,2014,1,NYJ,LV,19,14,14,26.0,-5.539876,0.0,1.8571428571428572,-0.39570542857142854,0.0,1
27,2014,1,PHI,JAX,34,17,24,64.0,-6.572697,0.0,2.6666666666666665,-0.273862375,0.0,1
28,2014,1,PIT,CLE,30,27,31,191.0,7.3180656,2.0,6.161290322580645,0.2360666322580645,0.06451612903225806,0
30,2014,1,SEA,GB,36,16,21,80.0,0.38006762,1.0,3.8095238095238093,0.018098458095238096,0.047619047619047616,1
31,2014,1,SF,DAL,28,17,23,127.0,-1.887739,1.0,5.521739130434782,-0.08207560869565218,0.043478260869565216,0
32,2014,1,TB,CAR,14,20,33,113.0,-6.2476344,0.0,3.4242424242424243,-0.18932225454545454,0.0,0
33,2014,1,TEN,KC,26,10,17,67.0,-2.9752314,0.0,3.9411764705882355,-0.1750136117647059,0.0,1
34,2014,1,WAS,HOU,6,17,32,117.0,-9.128966,0.0,3.65625,-0.2852801875,0.0,0
35,2014,2,ARI,NYG,25,14,27,81.0,-7.6867027,0.0,3.0,-0.28469269259259256,0.0,1
36,2014,2,ATL,CIN,10,24,44,171.0,0.97384727,2.0,3.8863636363636362,0.0221328925,0.045454545454545456,0
37,2014,2,BAL,PIT,26,6,18,99.0,0.6898775,0.0,5.5,0.03832652777777778,0.0,1
38,2014,2,BUF,MIA,29,10,21,80.0,-5.6493406,0.0,3.8095238095238093,-0.2690162190476191,0.0,1
