,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry,rb_win_pred,rb_value,rushing_value,qb_rushing_value_pct
89,2014,3,PHI,WAS,37,34,23,56.0,-11.139548,0.0,14.0,1.9428791,0.0,0,2.4347826086956523,-0.4843281739130434,0,0.07259937812215939,0.07259937812215939,0.24561403508771928
90,2014,3,PIT,CAR,37,19,32,266.0,13.761656,1.0,1.0,1.4340497,0.0,1,8.3125,0.43005175,1,0.9482201328783014,0.9482201328783014,0.003745318352059925
91,2014,3,SEA,DEN,26,20,36,130.0,1.2739043,1.0,41.0,3.9217465,0.0,1,3.611111111111111,0.0353862305555555,1,0.6348514503769183,0.6348514503769183,0.31297709923664124
92,2014,3,SF,ARI,14,23,23,82.0,-1.6960677,1.0,54.0,-0.585894,0.0,0,3.565217391304348,-0.0737420739130434,0,0.47553164224241057,0.47553164224241057,0.6506024096385542
93,2014,3,TB,ATL,14,56,18,64.0,-12.065042,0.0,19.0,2.2934265,0.0,0,3.555555555555556,-0.6702801111111111,0,0.0251657690081429,0.0251657690081429,0.2923076923076923
94,2014,3,TEN,CIN,7,33,27,150.0,5.7031426,1.0,51.0,3.0079863,0.0,1,5.555555555555555,0.2112275037037037,1,0.8323147488798618,0.8323147488798618,0.33774834437086093
95,2014,3,WAS,PHI,34,37,27,85.0,-1.6041733,1.0,6.0,0.9782213,0.0,0,3.1481481481481484,-0.0594138259259259,0,0.4968820143982389,0.4968820143982389,0.06976744186046512
96,2014,4,ATL,MIN,28,41,22,123.0,4.552578,1.0,2.0,-0.5242911,0.0,1,5.590909090909091,0.2069353636363636,1,0.8287105148103106,0.8287105148103106,0.016129032258064516
97,2014,4,BAL,CAR,38,10,30,127.0,-2.1508694,2.0,3.0,0.38283476,0.0,1,4.233333333333333,-0.0716956466666666,0,0.4785773526774034,0.4785773526774034,0.0234375
98,2014,4,BUF,HOU,17,23,23,96.0,-1.8169905,0.0,3.0,0.000734166,0.0,0,4.173913043478261,-0.0789995869565217,0,0.46771573218327195,0.46771573218327195,0.030927835051546393
