,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry
134,2014,5,HOU,DAL,17,20,30,177.0,5.5933228,2.0,4.0,-0.00852555,0.0,1,5.9,0.18644409333333334
135,2014,5,IND,BAL,20,13,29,128.0,-9.580059,1.0,23.0,-0.12895656,1.0,1,4.413793103448276,-0.3303468620689655
136,2014,5,JAX,PIT,9,17,15,56.0,0.01456964,0.0,14.0,0.9059715,0.0,0,3.7333333333333334,0.0009713093333333333
137,2014,5,KC,SF,17,22,20,107.0,3.0536633,1.0,6.0,0.14655799,0.0,1,5.35,0.152683165
138,2014,5,LA,PHI,28,34,23,125.0,-3.0246964,1.0,30.0,1.3338658,0.0,1,5.434782608695652,-0.13150853913043478
139,2014,5,LAC,NYJ,31,0,40,162.0,-3.5542426,1.0,3.0,-0.14839676,0.0,1,4.05,-0.088856065
140,2014,5,MIN,GB,10,42,25,111.0,-1.3242906,1.0,15.0,1.9127313,1.0,1,4.44,-0.052971624
141,2014,5,NE,CIN,43,17,43,224.0,4.9884706,1.0,13.0,2.3496628,0.0,1,5.209302325581396,0.11601094418604652
142,2014,5,NO,TB,37,31,28,141.0,3.899983,2.0,0.0,0.0,0.0,1,5.035714285714286,0.13928510714285716
143,2014,5,NYG,ATL,30,20,32,127.0,0.68613994,1.0,0.0,0.0,0.0,1,3.96875,0.021441873125
144,2014,5,NYJ,LAC,0,31,21,91.0,-5.7056723,0.0,14.0,0.2455265,0.0,0,4.333333333333333,-0.2716986809523809
145,2014,5,PHI,LA,34,28,32,146.0,-6.7247624,0.0,14.0,-3.2791612,0.0,1,4.5625,-0.210148825
146,2014,5,PIT,JAX,17,9,25,113.0,-0.7065279,0.0,0.0,0.0,0.0,1,4.52,-0.028261116
147,2014,5,SEA,WAS,27,17,36,225.0,10.996659,1.0,122.0,9.53149,1.0,1,6.25,0.30546275
148,2014,5,SF,KC,22,17,37,174.0,1.5860766,0.0,21.0,0.0,0.0,1,4.702702702702703,0.042866935135135134
149,2014,5,TB,NO,31,37,21,66.0,-5.1573787,1.0,0.0,-1.4936769,0.0,0,3.142857142857143,-0.24558946190476189
150,2014,5,TEN,CLE,28,29,29,150.0,-0.50554204,1.0,34.0,5.315976,1.0,1,5.172413793103448,-0.017432484137931036
151,2014,5,WAS,SEA,17,27,17,32.0,-8.866489,0.0,4.0,-2.1811016,0.0,0,1.8823529411764706,-0.5215581764705882
152,2014,6,ARI,WAS,30,20,23,74.0,-5.796591,0.0,-3.0,-1.5865693,0.0,0,3.217391304347826,-0.2520256956521739
153,2014,6,ATL,CHI,13,27,12,43.0,-1.6151327,0.0,0.0,0.0,0.0,0,3.5833333333333335,-0.13459439166666667
154,2014,6,BAL,TB,48,17,32,172.0,-2.000881,1.0,0.0,0.0,0.0,1,5.375,-0.06252753125
155,2014,6,BUF,NE,22,37,23,68.0,-5.0967603,1.0,0.0,0.0,0.0,0,2.9565217391304346,-0.22159827391304346
157,2014,6,CHI,ATL,27,13,26,106.0,-0.031705856,2.0,7.0,-3.3987203,0.0,0,4.076923076923077,-0.0012194559999999998
159,2014,6,CLE,PIT,31,10,38,158.0,-5.7514186,3.0,0.0,-1.1361654,0.0,1,4.157894736842105,-0.15135312105263157
160,2014,6,DAL,SEA,30,23,35,163.0,-1.9864254,1.0,0.0,-3.8912551,0.0,1,4.6571428571428575,-0.05675501142857142
161,2014,6,DEN,NYJ,31,17,33,138.0,-1.1209323,0.0,0.0,-1.6806829,0.0,1,4.181818181818182,-0.033967645454545455
162,2014,6,DET,MIN,17,3,28,100.0,-3.0055847,1.0,1.0,-1.5256017,0.0,0,3.5714285714285716,-0.10734231071428571
163,2014,6,GB,MIA,27,24,33,122.0,-1.5296261,0.0,35.0,3.570302,0.0,1,3.696969696969697,-0.04635230606060606
164,2014,6,HOU,IND,28,33,24,136.0,1.9337804,2.0,5.0,0.45241648,0.0,1,5.666666666666667,0.08057418333333334
165,2014,6,IND,HOU,33,28,33,95.0,-15.203231,1.0,20.0,-6.4184484,0.0,0,2.878787878787879,-0.4607039696969697
166,2014,6,JAX,TEN,14,16,23,82.0,0.9644637,1.0,38.0,4.237021,0.0,0,3.5652173913043477,0.04193320434782609
167,2014,6,LA,SF,17,31,23,94.0,-1.4999211,1.0,0.0,0.0,0.0,0,4.086956521739131,-0.06521396086956521
168,2014,6,LAC,LV,31,28,30,119.0,2.3286815,1.0,16.0,1.9360416,0.0,1,3.966666666666667,0.07762271666666667
169,2014,6,LV,LAC,28,31,20,114.0,2.799939,0.0,2.0,0.32568032,0.0,1,5.7,0.13999695
170,2014,6,MIA,GB,24,27,23,112.0,-4.215233,1.0,49.0,2.060186,0.0,1,4.869565217391305,-0.183271
171,2014,6,MIN,DET,3,17,17,70.0,-0.62226623,0.0,12.0,1.370225,0.0,0,4.117647058823529,-0.036603895882352945
172,2014,6,NE,BUF,37,22,25,52.0,-6.748587,0.0,5.0,0.43968797,0.0,0,2.08,-0.26994348
173,2014,6,NYG,PHI,0,27,24,86.0,-4.492399,0.0,3.0,0.0,0.0,0,3.5833333333333335,-0.18718329166666667
174,2014,6,NYJ,DEN,17,31,15,31.0,-4.927824,0.0,11.0,0.56832117,0.0,0,2.066666666666667,-0.3285216
175,2014,6,PHI,NYG,27,0,36,203.0,0.12716892,1.0,5.0,-1.1347034,0.0,1,5.638888888888889,0.00353247
176,2014,6,PIT,CLE,10,31,32,138.0,-2.444277,0.0,7.0,1.3595392,0.0,1,4.3125,-0.07638365625
177,2014,6,SEA,DAL,23,30,18,80.0,-0.27215192,1.0,12.0,1.5427701,1.0,0,4.444444444444445,-0.01511955111111111
178,2014,6,SF,LA,31,17,30,89.0,-12.510765,0.0,37.0,3.942395,0.0,0,2.966666666666667,-0.4170255
179,2014,6,TB,BAL,17,48,18,87.0,1.1153613,0.0,0.0,0.0,0.0,0,4.833333333333333,0.061964516666666664
180,2014,6,TEN,JAX,16,14,23,71.0,-5.165912,1.0,2.0,-0.40240076,0.0,0,3.0869565217391304,-0.22460486956521739
181,2014,6,WAS,ARI,20,30,17,72.0,-2.4305835,0.0,0.0,0.0,0.0,0,4.235294117647059,-0.1429755
182,2014,7,ARI,LV,24,13,37,123.0,-3.9517682,1.0,0.0,0.0,0.0,1,3.324324324324324,-0.10680454594594595
183,2014,7,ATL,BAL,7,29,16,68.0,-2.7647705,0.0,7.0,0.07539745,0.0,0,4.25,-0.17279815625
184,2014,7,BAL,ATL,29,7,36,123.0,-5.8103013,1.0,4.0,0.3059517,0.0,1,3.4166666666666665,-0.16139725833333332
185,2014,7,BUF,MIN,17,16,18,119.0,-0.6659482,0.0,0.0,0.0,0.0,1,6.611111111111111,-0.03699712222222222
186,2014,7,CAR,GB,17,38,25,108.0,-6.567551,0.0,41.0,0.0,0.0,1,4.32,-0.26270203999999997
187,2014,7,CHI,MIA,14,27,14,52.0,0.9920223,1.0,3.0,-1.7941977,0.0,0,3.7142857142857144,0.07085873571428572
188,2014,7,CIN,IND,0,27,12,32.0,-3.695475,0.0,0.0,-0.5352199,0.0,0,2.6666666666666665,-0.30795625
189,2014,7,CLE,JAX,6,24,29,70.0,-11.080872,0.0,0.0,0.0,0.0,0,2.413793103448276,-0.3820990344827586
190,2014,7,DAL,NYG,31,21,34,157.0,-1.1013947,1.0,6.0,1.2303733,0.0,1,4.617647058823529,-0.03239396176470588
191,2014,7,DEN,SF,42,17,24,118.0,1.3869362,2.0,2.0,0.0,0.0,1,4.916666666666667,0.057789008333333336
192,2014,7,DET,NO,24,23,23,60.0,-2.771917,1.0,2.0,-0.34083825,0.0,0,2.608695652173913,-0.12051813043478261
193,2014,7,GB,CAR,38,17,27,125.0,5.3484435,2.0,21.0,3.3218927,0.0,1,4.62962962962963,0.1980905
194,2014,7,HOU,PIT,23,30,29,133.0,-3.5413494,0.0,17.0,-0.5944054,0.0,1,4.586206896551724,-0.12211549655172414
195,2014,7,IND,CIN,27,0,34,171.0,-5.213401,1.0,5.0,-6.0644107,0.0,1,5.029411764705882,-0.15333532352941176
196,2014,7,JAX,CLE,24,6,34,186.0,4.8047113,2.0,38.0,3.2656953,0.0,1,5.470588235294118,0.14131503823529412
197,2014,7,KC,LAC,23,20,39,154.0,2.2395797,1.0,29.0,2.0784376,0.0,1,3.948717948717949,0.05742512051282052
198,2014,7,LA,SEA,28,26,25,104.0,-3.355048,1.0,0.0,0.0,0.0,0,4.16,-0.13420192
199,2014,7,LAC,KC,20,23,16,69.0,-1.5230894,0.0,0.0,0.0,0.0,0,4.3125,-0.0951930875
200,2014,7,LV,ARI,13,24,18,57.0,-2.8539999,1.0,3.0,-1.1737148,0.0,0,3.1666666666666665,-0.15855555
201,2014,7,MIA,CHI,27,14,31,139.0,1.4614841,1.0,50.0,4.3786983,0.0,1,4.483870967741935,0.047144648387096776
202,2014,7,MIN,BUF,16,17,29,158.0,-2.7641373,0.0,7.0,-0.77988786,0.0,1,5.448275862068965,-0.09531507931034482
203,2014,7,NE,NYJ,27,25,15,63.0,-1.6274266,0.0,0.0,0.0,0.0,0,4.2,-0.10849510666666666
204,2014,7,NO,DET,23,24,21,73.0,-6.7857428,0.0,13.0,1.5254756,0.0,0,3.4761904761904763,-0.32313060952380956
