,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
117,2014,4,CAR,BAL,10,38,30,127.0,-2.1508694,2.0,-0.20899102181691334,-0.07169564666666667,-0.06855267817661861,0.20899102181691334
119,2014,4,CHI,GB,17,38,18,56.0,1.7229321,1.0,0.5241809756402973,0.09571845,0.7159948046881466,-0.5241809756402973
121,2014,4,DAL,NO,38,17,13,104.0,2.8869352,0.0,0.7444851078663252,0.22207193846153844,1.3081212342865907,-0.7444851078663252
122,2014,4,DET,NYJ,24,17,27,132.0,-1.179699,1.0,-0.025183219057965018,-0.04369255555555556,0.06267733817856465,0.025183219057965018
123,2014,4,GB,CHI,38,17,41,235.0,6.352316,0.0,1.4003576824125084,0.15493453658536585,0.9934973125453649,-1.4003576824125084
124,2014,4,HOU,BUF,23,17,23,96.0,-1.8169905,0.0,-0.145799694119349,-0.07899958695652173,-0.10278090676366373,0.145799694119349
125,2014,4,IND,TEN,41,17,16,85.0,2.5856962,1.0,0.6874713451988234,0.1616060125,1.024761642969347,-0.6874713451988234
126,2014,4,JAX,LAC,14,33,20,42.0,-6.621519,0.0,-1.0551250060087414,-0.33107595,-1.2840785397176646,1.0551250060087414
127,2014,4,KC,NE,41,14,16,75.0,-2.1308522,0.0,-0.20520248218536527,-0.1331782625,-0.3566767516710053,0.20520248218536527
128,2014,4,LAC,JAX,33,14,25,85.0,-8.540484,1.0,-1.4183164091047638,-0.34161936,-1.3334877946191854,1.4183164091047638
129,2014,4,LV,MIA,14,38,35,157.0,-8.065668,2.0,-1.3284507319025007,-0.23044765714285717,-0.8125072954917959,1.3284507319025007
131,2014,4,MIA,LV,38,14,18,53.0,-13.40277,0.0,-2.3385731488546533,-0.7445983333333334,-3.221955644525417,2.3385731488546533
132,2014,4,MIN,ATL,41,28,22,123.0,4.552578,1.0,1.0597316838011583,0.2069353636363636,1.2371871736863667,-1.0597316838011583
133,2014,4,NE,KC,14,41,36,209.0,-0.2970661,1.0,0.14186760332269918,-0.008251836111111112,0.22876208124782252,-0.14186760332269918
135,2014,4,NO,DAL,17,38,32,193.0,5.679905,2.0,1.273094342775152,0.17749703125,1.0992312307083798,-1.273094342775152
136,2014,4,NYG,WAS,45,14,17,86.0,0.09499586,1.0,0.21607090215982055,0.0055879917647058824,0.2936192368843212,-0.21607090215982055
137,2014,4,NYJ,DET,17,24,24,91.0,-1.8682306,1.0,-0.1554976113892213,-0.07784294166666667,-0.09736055585659548,0.1554976113892213
138,2014,4,PHI,SF,21,26,40,220.0,3.643117,0.0,0.887603262151409,0.091077925,0.6942480564727325,-0.887603262151409
139,2014,4,PIT,TB,24,27,19,63.0,1.7649052,1.0,0.5321249814357598,0.09288974736842105,0.7027387433793018,-0.5321249814357598
141,2014,4,SF,PHI,26,21,12,22.0,-3.4959946,0.0,-0.46357508600141784,-0.29133288333333335,-1.0978318404522966,0.46357508600141784
142,2014,4,TB,PIT,27,24,27,85.0,-3.649466,0.0,-0.49262172994808223,-0.1351654074074074,-0.3659890471481186,0.49262172994808223
144,2014,4,TEN,IND,17,41,37,108.0,-6.1816354,1.0,-0.9718707820479452,-0.16707122702702704,-0.5155082989298223,0.9718707820479452
